과목,문항,인용파일,인용줄,판정,실제/추정줄,오프셋,비고,심각도
과목4,362,4과목_맞춤형화장품의이해_표준형.md,1451,EXACT,1451,0,,정상
과목4,363,화장품법(법률)(제20901호)(20260402).md,349,EXACT,349,0,,정상
과목4,364,4과목_맞춤형화장품의이해_표준형.md,2425,EXACT,2425,0,,정상
과목4,365,4과목_맞춤형화장품의이해_표준형.md,72,EXACT,72,0,,정상
과목4,366,4과목_맞춤형화장품의이해_표준형.md,1208,EXACT,1208,0,,정상
과목4,367,4과목_맞춤형화장품의이해_표준형.md,1698,EXACT,1698,0,,정상
과목4,368,4과목_맞춤형화장품의이해_표준형.md,2864,EXACT,2864,0,,정상
과목4,369,4과목_맞춤형화장품의이해_표준형.md,633,EXACT,633,0,,정상
과목4,370,4과목_맞춤형화장품의이해_표준형.md,2956,EXACT,2956,0,,정상
과목4,371,4과목_맞춤형화장품의이해_표준형.md,2956,EXACT,2956,0,,정상
과목4,372,4과목_맞춤형화장품의이해_표준형.md,71,EXACT,71,0,,정상
과목4,373,4과목_맞춤형화장품의이해_표준형.md,3242,EXACT,3242,0,,정상
과목4,374,4과목_맞춤형화장품의이해_표준형.md,1184,EXACT,1184,0,,정상
과목4,375,4과목_맞춤형화장품의이해_표준형.md,1683,EXACT,1683,0,,정상
과목4,376,4과목_맞춤형화장품의이해_표준형.md,1451,EXACT,1451,0,,정상
과목4,377,4과목_맞춤형화장품의이해_표준형.md,2643,EXACT,2643,0,,정상
과목4,378,4과목_맞춤형화장품의이해_표준형.md,1165,EXACT,1165,0,,정상
과목4,379,화장품법(법률)(제20901호)(20260402).md,449,EXACT,449,0,,정상
과목4,380,4과목_맞춤형화장품의이해_표준형.md,1466,EXACT,1466,0,,정상
과목4,381,4과목_맞춤형화장품의이해_표준형.md,725,EXACT,725,0,,정상
과목4,382,화장품법(법률)(제20901호)(20260402).md,647,EXACT,647,0,,정상
과목4,383,4과목_맞춤형화장품의이해_표준형.md,1546,EXACT,1546,0,,정상
과목4,384,4과목_맞춤형화장품의이해_표준형.md,856,EXACT,856,0,,정상
과목4,385,4과목_맞춤형화장품의이해_표준형.md,1145,EXACT,1145,0,,정상
과목4,386,4과목_맞춤형화장품의이해_표준형.md,926,EXACT,926,0,,정상
과목4,387,4과목_맞춤형화장품의이해_표준형.md,1350,EXACT,1350,0,,정상
과목4,388,화장품법 시행규칙(총리령)(제02109호)(20260402).md,545,EXACT,545,0,,정상
과목4,389,4과목_맞춤형화장품의이해_표준형.md,1200,EXACT,1200,0,,정상
과목4,390,4과목_맞춤형화장품의이해_표준형.md,4231,EXACT,4231,0,,정상
과목4,391,4과목_맞춤형화장품의이해_표준형.md,1117,EXACT,1117,0,,정상
과목4,392,화장품법(법률)(제20901호)(20260402).md,507,EXACT,507,0,,정상
과목4,393,4과목_맞춤형화장품의이해_표준형.md,1149,EXACT,1149,0,,정상
과목4,394,4과목_맞춤형화장품의이해_표준형.md,658,EXACT,658,0,,정상
과목4,395,4과목_맞춤형화장품의이해_표준형.md,1686,EXACT,1686,0,,정상
과목4,396,4과목_맞춤형화장품의이해_표준형.md,3325,EXACT,3325,0,,정상
과목4,397,4과목_맞춤형화장품의이해_표준형.md,1199,EXACT,1199,0,,정상
과목4,398,4과목_맞춤형화장품의이해_표준형.md,601,EXACT,601,0,,정상
과목4,399,4과목_맞춤형화장품의이해_표준형.md,55,EXACT,55,0,,정상
과목4,400,4과목_맞춤형화장품의이해_표준형.md,3666,NOTFOUND_재작성,3666,,원문 미발견(요약형) ,참고(요약형근거)
